"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 11 23:58:34 EET 2021","Sat Dec 11 23:59:04 EET 2021","29744","","Login","","Login","Login With Invalid Email (3)","Login With Invalid Email (3)",""
"passed","Sat Dec 11 23:59:04 EET 2021","Sat Dec 11 23:59:55 EET 2021","51247","","Login","","Login","Login With Semi Spaced Email","Login With Semi Spaced Email",""
"passed","Sat Dec 11 23:56:52 EET 2021","Sat Dec 11 23:57:27 EET 2021","34934","","Login","","Login","Login With Spaced Email","Login With Spaced Email",""
"passed","Sat Dec 11 23:57:27 EET 2021","Sat Dec 11 23:57:56 EET 2021","29558","","Login","","Login","Login With Invalid Email (1)","Login With Invalid Email (1)",""
"passed","Sat Dec 11 23:57:56 EET 2021","Sat Dec 11 23:58:34 EET 2021","37632","","Login","","Login","Login With Invalid Email (2)","Login With Invalid Email (2)",""
"passed","Sat Dec 11 23:54:48 EET 2021","Sat Dec 11 23:55:28 EET 2021","39596","","Login","","Login","Login With Empty Password","Login With Empty Password",""
"passed","Sat Dec 11 23:55:52 EET 2021","Sat Dec 11 23:56:22 EET 2021","29819","","Login","","Login","Login With Empty Email In Email Password View","Login With Empty Email In Email Password View",""
"passed","Sat Dec 11 23:54:13 EET 2021","Sat Dec 11 23:54:48 EET 2021","35705","","Login","","Login","Login With Wrong Password","Login With Wrong Password",""
"passed","Sat Dec 11 23:55:28 EET 2021","Sat Dec 11 23:55:52 EET 2021","24274","","Login","","Login","Login With Empty Email","Login With Empty Email",""
"passed","Sat Dec 11 23:56:22 EET 2021","Sat Dec 11 23:56:52 EET 2021","29502","","Login","","Login","Login With Empty Email and Password In Email Password View","Login With Empty Email and Password In Email Password View",""
"passed","Sat Dec 11 23:59:55 EET 2021","Sun Dec 12 00:00:39 EET 2021","44050","","Login","","Login","Successful Login","Successful Login",""
