"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 10 17:14:25 EET 2021","Fri Dec 10 17:14:38 EET 2021","13084","","Login","","Login","Login With Empty Email","Login With Empty Email",""
"passed","Fri Dec 10 17:13:58 EET 2021","Fri Dec 10 17:14:11 EET 2021","13629","","Login","","Login","Login With Wrong Password","Login With Wrong Password",""
"broken","Fri Dec 10 17:18:34 EET 2021","Fri Dec 10 17:18:46 EET 2021","12015","","Signup testing","","Signup testing","Full valid test","Full valid test",""
"broken","Fri Dec 10 17:16:56 EET 2021","Fri Dec 10 17:17:32 EET 2021","36635","","Reset Password","","Reset Password","Forget Password With Not Registered Email","Forget Password With Not Registered Email",""
"broken","Fri Dec 10 17:15:41 EET 2021","Fri Dec 10 17:16:43 EET 2021","62403","","Login","","Login","Successful Login","Successful Login",""
"broken","Fri Dec 10 17:17:32 EET 2021","Fri Dec 10 17:18:09 EET 2021","36956","","Reset Password","","Reset Password","Send Reset Password","Send Reset Password",""
"broken","Fri Dec 10 17:18:21 EET 2021","Fri Dec 10 17:18:34 EET 2021","12962","","Signup testing","","Signup testing","Signup with invalid address1","Signup with invalid address1",""
"broken","Fri Dec 10 17:14:38 EET 2021","Fri Dec 10 17:15:41 EET 2021","62383","","Login","","Login","Display Password Before Typing it","Display Password Before Typing it",""
"failed","Fri Dec 10 17:13:45 EET 2021","Fri Dec 10 17:13:58 EET 2021","12985","","Login","","Login","Login With Invaild Email","Login With Invaild Email",""
"failed","Fri Dec 10 17:14:11 EET 2021","Fri Dec 10 17:14:25 EET 2021","13972","","Login","","Login","Login With Empty Password","Login With Empty Password",""
